
                                      ARENA Simulation Results
                                   Regulo A - License: 7328734345

                                  Summary for Replication 1 of 20

Project: Unnamed Project                                             Run execution date :11/16/2016
Analyst: Rockwell Automation                                         Model revision date:11/16/2016

Replication ended at time      : 120.0 Hours 
Base Time Units: Hours

                                           TALLY VARIABLES

Identifier                                  Average   Half Width  Minimum    Maximum   Observations
___________________________________________________________________________________________________

Hold 153.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 112.Queue.NumberInQueue                8.2116     (Insuf)    .00000     34.000     .00000    
Hold 59.Queue.NumberInQueue                 10.341     (Insuf)    .00000     34.000     .00000    
Process 81.Queue.NumberInQueue              13.271     (Insuf)    .00000     23.000     23.000    
Process 66.Queue.NumberInQueue              .00179     (Insuf)    .00000     1.0000     .00000    
Process 25.Queue.NumberInQueue              .33663     (Corr)     .00000     2.0000     .00000    
Batch 31.Queue.NumberInQueue                133.48     (Insuf)    .00000     800.00     .00000    
Batch 16.Queue.NumberInQueue                .17583     (Insuf)    .00000     24.000     .00000    
Hold 161.Queue.NumberInQueue                .38784     (Insuf)    .00000     2.0000     .00000    
Hold 120.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 26.Queue.NumberInQueue                 .14514     (Insuf)    .00000     59.000     .00000    
Hold 158.Queue.NumberInQueue                .98635     (Insuf)    .00000     5.0000     .00000    
Hold 117.Queue.NumberInQueue                .00000     (Insuf)    .00000     1.0000     .00000    
Hold 34.Queue.NumberInQueue                 .94444     (Insuf)    .00000     1.0000     1.0000    
Batch 29.Queue.NumberInQueue                1.7197     (Insuf)    .00000     30.000     .00000    
Hold 133.Queue.NumberInQueue                9.8745     (Insuf)    .00000     34.000     .00000    
Hold 39.Queue.NumberInQueue                 .12917     (Insuf)    .00000     44.000     .00000    
Process 61.Queue.NumberInQueue              .01381     (Insuf)    .00000     1.0000     .00000    
Hold 138.Queue.NumberInQueue                1.8001     (Insuf)    .00000     25.000     .00000    
Hold 55.Queue.NumberInQueue                 .89722     (Insuf)    .00000     1.0000     1.0000    
Hold 105.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Process 33.Queue.NumberInQueue              .03283     (Insuf)    .00000     5.0000     .00000    
Batch 24.Queue.NumberInQueue                5.3323     (Insuf)    .00000     112.00     .00000    
Hold 154.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 113.Queue.NumberInQueue                .00000     (Insuf)    .00000     1.0000     .00000    
Process 1.Queue.NumberInQueue               .00000     (Insuf)    .00000     .00000     .00000    
Process 82.Queue.NumberInQueue              5.2176     (Insuf)    .00000     14.000     11.000    
Batch 32.Queue.NumberInQueue                101.46     (Insuf)    .00000     750.00     .00000    
Hold 83.Queue.NumberInQueue                 .10376     (Insuf)    .00000     1.0000     .00000    
Hold 42.Queue.NumberInQueue                 .00000     (Insuf)    .00000     .00000     .00000    
Hold 27.Queue.NumberInQueue                 .00000     (Insuf)    .00000     .00000     .00000    
Hold 118.Queue.NumberInQueue                .00000     (Insuf)    .00000     1.0000     .00000    
Hold 50.Queue.NumberInQueue                 14.278     (Corr)     .00000     50.000     .00000    
Hold 141.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 167.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 100.Queue.NumberInQueue                .02089     (Insuf)    .00000     1.0000     .00000    
Process 62.Queue.NumberInQueue              .01069     (Insuf)    .00000     1.0000     .00000    
Hold 63.Queue.NumberInQueue                 30.049     (Insuf)    .00000     120.00     120.00    
Hold 48.Queue.NumberInQueue                 8.1483     (Corr)     .00000     48.000     .00000    
Hold 139.Queue.NumberInQueue                .16264     (Insuf)    .00000     9.0000     .00000    
Process 67.Queue.NumberInQueue              .00000     (Insuf)    .00000     .00000     .00000    
Process 26.Queue.NumberInQueue              .00000     (Insuf)    .00000     .00000     .00000    
Batch 17.Queue.NumberInQueue                .27395     (Insuf)    .00000     28.000     .00000    
Hold 162.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
