
                                      ARENA Simulation Results
                                   Regulo A - License: 7328734345

                                  Summary for Replication 1 of 20

Project: Unnamed Project                                             Run execution date :11/16/2016
Analyst: Rockwell Automation                                         Model revision date:11/16/2016

Replication ended at time      : 120.0 Hours 
Base Time Units: Hours

                                           TALLY VARIABLES

Identifier                                  Average   Half Width  Minimum    Maximum   Observations
___________________________________________________________________________________________________

Hold 83.Queue.NumberInQueue                 1.0822     (Insuf)    .00000     2.0000     2.0000    
Hold 42.Queue.NumberInQueue                 .00000     (Insuf)    .00000     .00000     .00000    
Hold 27.Queue.NumberInQueue                 .00000     (Insuf)    .00000     .00000     .00000    
Hold 118.Queue.NumberInQueue                .00000     (Insuf)    .00000     1.0000     .00000    
Hold 50.Queue.NumberInQueue                 3.5737     3.5896     .00000     49.000     .00000    
Hold 141.Queue.NumberInQueue                17.364     (Insuf)    .00000     27.000     27.000    
Hold 167.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 100.Queue.NumberInQueue                .00000     (Insuf)    .00000     1.0000     .00000    
Process 62.Queue.NumberInQueue              1.8960     (Insuf)    .00000     8.0000     8.0000    
Hold 63.Queue.NumberInQueue                 19.033     (Insuf)    .00000     67.000     67.000    
Hold 48.Queue.NumberInQueue                 2.5504     (Corr)     .00000     48.000     .00000    
Hold 139.Queue.NumberInQueue                17.013     (Insuf)    .00000     26.000     22.000    
Process 67.Queue.NumberInQueue              .52250     (Insuf)    .00000     1.0000     1.0000    
Process 26.Queue.NumberInQueue              .00000     (Insuf)    .00000     .00000     .00000    
Batch 17.Queue.NumberInQueue                .31304     (Insuf)    .00000     28.000     .00000    
Hold 162.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 121.Queue.NumberInQueue                .13056     (Insuf)    .00000     3.0000     .00000    
Hold 147.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 106.Queue.NumberInQueue                .12628     (Insuf)    .00000     1.0000     .00000    
Process 34.Queue.NumberInQueue              48.168     (Corr)     .00000     83.000     61.000    
Batch 25.Queue.NumberInQueue                70.997     (Insuf)    .00000     212.00     104.00    
Process 2.Queue.NumberInQueue               .00000     (Insuf)    .00000     .00000     .00000    
Batch 33.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 84.Queue.NumberInQueue                 .86875     (Insuf)    .00000     1.0000     1.0000    
Hold 134.Queue.NumberInQueue                23.530     (Insuf)    .00000     29.000     29.000    
Hold 119.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 92.Queue.NumberInQueue                 .01463     (Insuf)    .00000     1.0000     .00000    
Hold 51.Queue.NumberInQueue                 .76511     (Insuf)    .00000     1.0000     1.0000    
Hold 142.Queue.NumberInQueue                9.9619     (Insuf)    .00000     22.000     12.000    
Hold 101.Queue.NumberInQueue                .00826     (Insuf)    .00000     1.0000     .00000    
Batch 20.Queue.NumberInQueue                160.35     (Corr)     .00000     264.00     264.00    
Hold 150.Queue.NumberInQueue                .10443     (Insuf)    .00000     1.0000     .00000    
