SIMAN Run Controller.

0.00016666667 Hours>SIMAN Run Controller.

0.26683333 Hours>
                                      ARENA Simulation Results
                                   Regulo A - License: 7328734345

                                  Summary for Replication 1 of 1

Project: Unnamed Project                                             Run execution date :10/31/2016
Analyst: Rockwell Automation                                         Model revision date:10/31/2016

Replication ended at time      : 0.26683333 Hours 
Base Time Units: Hours

                                           TALLY VARIABLES

Identifier                                  Average   Half Width  Minimum    Maximum   Observations
Match 7.Queue1.NumberInQueue                26.545     (Insuf)    .00000     85.000     .00000    
Match 7.Queue2.NumberInQueue                1.8719     (Insuf)    .00000     3.0000     .00000    
Match 7.Queue3.NumberInQueue                81.456     (Insuf)    .00000     88.000     .00000    
Hold 54.Queue.NumberInQueue                 .00000     (Insuf)    .00000     .00000     .00000    
Hold 104.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Process 32.Queue.NumberInQueue              .99938     (Insuf)    .00000     5.0000     4.0000    
Batch 23.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 62.Queue.NumberInQueue                 .00000     (Insuf)    .00000     .00000     .00000    
Hold 112.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 59.Queue.NumberInQueue                 .93691     (Insuf)    .00000     5.0000     5.0000    
Process 25.Queue.NumberInQueue              .00000     (Insuf)    .00000     .00000     .00000    
Batch 16.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 120.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 26.Queue.NumberInQueue                 5.9219     (Insuf)    .00000     19.000     .00000    
Hold 117.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 34.Queue.NumberInQueue                 .00000     (Insuf)    .00000     .00000     .00000    
Process 53.Queue.NumberInQueue              .00000     (Insuf)    .00000     .00000     .00000    
Hold 133.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 39.Queue.NumberInQueue                 79.584     (Insuf)    .00000     85.000     .00000    
