SIMAN Run Controller.

2399.2667 Hours>
                                      ARENA Simulation Results
                                   Regulo A - License: 7328734345

                                  Summary for Replication 1 of 1

Project: Unnamed Project                                             Run execution date :10/28/2016
Analyst: Rockwell Automation                                         Model revision date:10/28/2016

Replication ended at time      : 2399.2667 Hours 
Base Time Units: Hours

                                           TALLY VARIABLES

Identifier                                  Average   Half Width  Minimum    Maximum   Observations
Batch 12.Queue.NumberInQueue                .00000     (Insuf)    .00000     3.0000     .00000    
Hold 63.Queue.NumberInQueue                 .00000     (Insuf)    .00000     .00000     .00000    
Hold 48.Queue.NumberInQueue                 .00000     (Insuf)    .00000     4.0000     .00000    
Process 26.Queue.NumberInQueue              .00000     (Insuf)    .00000     .00000     .00000    
Hold 71.Queue.NumberInQueue                 69.937     (Insuf)    .00000     70.000     70.000    
Process 34.Queue.NumberInQueue              .05319     (Insuf)    .00000     38.000     .00000    
Hold 76.Queue.NumberInQueue                 .00000     (Insuf)    .00000     .00000     .00000    
Process 2.Queue.NumberInQueue               .00000     (Insuf)    .00000     .00000     .00000    
Hold 84.Queue.NumberInQueue                 7.7802E-04 (Insuf)    .00000     1.0000     .00000    
Hold 92.Queue.NumberInQueue                 3.1954E-04 (Insuf)    .00000     1.0000     .00000    
Hold 51.Queue.NumberInQueue                 .99999     (Insuf)    .00000     1.0000     1.0000    
Hold 97.Queue.NumberInQueue                 .00000     (Insuf)    .00000     4.0000     .00000    
Hold 56.Queue.NumberInQueue                 .00000     (Insuf)    .00000     .00000     .00000    
Process 27.Queue.NumberInQueue              2.4313E-04 (Insuf)    .00000     1.0000     .00000    
Hold 72.Queue.NumberInQueue                 .00000     (Insuf)    .00000     .00000     .00000    
Hold 31.Queue.NumberInQueue                 .00000     (Insuf)    .00000     .00000     .00000    
Hold 69.Queue.NumberInQueue                 .00000     (Insuf)    .00000     .00000     .00000    
Hold 77.Queue.NumberInQueue                 27.934     (Insuf)    .00000     28.000     28.000    
Batch 6.Queue.NumberInQueue                 .00000     (Insuf)    .00000     3.0000     .00000    
Process 22.Queue.NumberInQueue              .04224     (Insuf)    .00000     53.000     .00000    
Batch 13.Queue.NumberInQueue                .00000     (Insuf)    .00000     2.0000     .00000    
Hold 49.Queue.NumberInQueue                 .99999     (Insuf)    .00000     1.0000     1.0000    
Hold 57.Queue.NumberInQueue                 91.734     (Insuf)    .00000     92.000     92.000    
Hold 80.Queue.NumberInQueue                 1.0000     (Insuf)    .00000     1.0000     1.0000    
Process 28.Queue.NumberInQueue              2.4313E-04 (Insuf)    .00000     1.0000     .00000    
Match 6.Queue1.NumberInQueue                .00000     (Insuf)    .00000     1.0000     .00000    
Match 6.Queue2.NumberInQueue                9.0125E-04 (Insuf)    .00000     27.000     .00000    
Match 6.Queue3.NumberInQueue                .00146     (Insuf)    .00000     42.000     .00000    
Hold 93.Queue.NumberInQueue                 4.3763E-04 (Insuf)    .00000     1.0000     .00000    
Hold 52.Queue.NumberInQueue                 .00000     (Insuf)    .00000     4.0000     .00000    
Hold 78.Queue.NumberInQueue                 1.0000     (Insuf)    .00000     1.0000     1.0000    

                                             OUTPUTS

Identifier                                   Value
_____________________________________________________________

Entity 1.NumberIn                           10702.    
Entity 1.NumberOut                          9792.0    
Entity 2.NumberIn                           .00000    
Entity 2.NumberOut                          .00000    
